layer_idx_in_block,layer_name,role,out_features,in_features,n_params,kl_div,top1_disagree,elapsed_s
28,model.layers.28.self_attn.k_proj,attn_qkv,1024,4096,4194304,nan,0.07065217196941376,0.13858413696289062
28,model.layers.28.self_attn.v_proj,attn_qkv,1024,4096,4194304,nan,0.043478261679410934,0.1400899887084961
28,model.layers.28.self_attn.o_proj,attn_out,4096,4096,16777216,nan,0.029891304671764374,0.13965368270874023
28,model.layers.28.mlp.gate_proj,mlp_up,12288,4096,50331648,nan,0.07880435138940811,0.14871716499328613
28,model.layers.28.mlp.up_proj,mlp_up,12288,4096,50331648,nan,0.08152174204587936,0.1437852382659912
28,model.layers.28.mlp.down_proj,mlp_down,4096,12288,50331648,nan,0.11141304671764374,0.1443467140197754
29,model.layers.29.self_attn.q_proj,attn_qkv,4096,4096,16777216,nan,0.06521739065647125,0.13860464096069336
29,model.layers.29.self_attn.k_proj,attn_qkv,1024,4096,4194304,nan,0.032608695328235626,0.13624882698059082
29,model.layers.29.self_attn.v_proj,attn_qkv,1024,4096,4194304,nan,0.029891304671764374,0.1370992660522461
29,model.layers.29.self_attn.o_proj,attn_out,4096,4096,16777216,nan,0.016304347664117813,0.13829898834228516
29,model.layers.29.mlp.gate_proj,mlp_up,12288,4096,50331648,nan,0.07608696073293686,0.13891029357910156
29,model.layers.29.mlp.up_proj,mlp_up,12288,4096,50331648,nan,0.057065218687057495,0.14185190200805664
29,model.layers.29.mlp.down_proj,mlp_down,4096,12288,50331648,nan,0.0625,0.14010143280029297
30,model.layers.30.self_attn.q_proj,attn_qkv,4096,4096,16777216,nan,0.043478261679410934,0.13995146751403809
30,model.layers.30.self_attn.k_proj,attn_qkv,1024,4096,4194304,nan,0.05978260934352875,0.13743162155151367
30,model.layers.30.self_attn.v_proj,attn_qkv,1024,4096,4194304,nan,0.02717391401529312,0.14686155319213867
30,model.layers.30.self_attn.o_proj,attn_out,4096,4096,16777216,nan,0.032608695328235626,0.1501154899597168
30,model.layers.30.mlp.gate_proj,mlp_up,12288,4096,50331648,nan,0.05434782803058624,0.14967918395996094
30,model.layers.30.mlp.up_proj,mlp_up,12288,4096,50331648,nan,0.04891304299235344,0.1486971378326416
30,model.layers.30.mlp.down_proj,mlp_down,4096,12288,50331648,nan,0.07880435138940811,0.15014100074768066
31,model.layers.31.self_attn.q_proj,attn_qkv,4096,4096,16777216,nan,0.04891304299235344,0.14711380004882812
31,model.layers.31.self_attn.k_proj,attn_qkv,1024,4096,4194304,nan,0.04891304299235344,0.14543604850769043
31,model.layers.31.self_attn.v_proj,attn_qkv,1024,4096,4194304,nan,0.03532608598470688,0.13894057273864746
31,model.layers.31.self_attn.o_proj,attn_out,4096,4096,16777216,nan,0.05434782803058624,0.14070916175842285
31,model.layers.31.mlp.gate_proj,mlp_up,12288,4096,50331648,nan,0.057065218687057495,0.14404582977294922
31,model.layers.31.mlp.up_proj,mlp_up,12288,4096,50331648,nan,0.057065218687057495,0.14227652549743652
31,model.layers.31.mlp.down_proj,mlp_down,4096,12288,50331648,nan,0.06521739065647125,0.14954090118408203
32,model.layers.32.self_attn.q_proj,attn_qkv,4096,4096,16777216,nan,0.057065218687057495,0.1365816593170166
32,model.layers.32.self_attn.k_proj,attn_qkv,1024,4096,4194304,nan,0.04891304299235344,0.14551091194152832
32,model.layers.32.self_attn.v_proj,attn_qkv,1024,4096,4194304,nan,0.04619565233588219,0.1382904052734375
32,model.layers.32.self_attn.o_proj,attn_out,4096,4096,16777216,nan,0.032608695328235626,0.13924860954284668
32,model.layers.32.mlp.gate_proj,mlp_up,12288,4096,50331648,nan,0.07065217196941376,0.14087367057800293
32,model.layers.32.mlp.up_proj,mlp_up,12288,4096,50331648,nan,0.08152174204587936,0.14218854904174805
32,model.layers.32.mlp.down_proj,mlp_down,4096,12288,50331648,nan,0.07065217196941376,0.1469278335571289
33,model.layers.33.self_attn.q_proj,attn_qkv,4096,4096,16777216,nan,0.04619565233588219,0.1369185447692871
33,model.layers.33.self_attn.k_proj,attn_qkv,1024,4096,4194304,nan,0.05163043737411499,0.13628172874450684
33,model.layers.33.self_attn.v_proj,attn_qkv,1024,4096,4194304,nan,0.019021740183234215,0.13672471046447754
33,model.layers.33.self_attn.o_proj,attn_out,4096,4096,16777216,nan,0.03532608598470688,0.13750457763671875
33,model.layers.33.mlp.gate_proj,mlp_up,12288,4096,50331648,nan,0.06521739065647125,0.1436762809753418
33,model.layers.33.mlp.up_proj,mlp_up,12288,4096,50331648,nan,0.09782608598470688,0.14324021339416504
33,model.layers.33.mlp.down_proj,mlp_down,4096,12288,50331648,nan,0.057065218687057495,0.13919878005981445
34,model.layers.34.self_attn.q_proj,attn_qkv,4096,4096,16777216,nan,0.05434782803058624,0.14019393920898438
34,model.layers.34.self_attn.k_proj,attn_qkv,1024,4096,4194304,nan,0.043478261679410934,0.13901305198669434
34,model.layers.34.self_attn.v_proj,attn_qkv,1024,4096,4194304,nan,0.06521739065647125,0.13979530334472656
34,model.layers.34.self_attn.o_proj,attn_out,4096,4096,16777216,nan,0.04891304299235344,0.14463543891906738
34,model.layers.34.mlp.gate_proj,mlp_up,12288,4096,50331648,nan,0.14130434393882751,0.14198064804077148
34,model.layers.34.mlp.up_proj,mlp_up,12288,4096,50331648,nan,0.11413043737411499,0.14133930206298828
34,model.layers.34.mlp.down_proj,mlp_down,4096,12288,50331648,nan,0.16032609343528748,0.14210963249206543
35,model.layers.35.self_attn.q_proj,attn_qkv,4096,4096,16777216,nan,0.05163043737411499,0.1402289867401123
35,model.layers.35.self_attn.k_proj,attn_qkv,1024,4096,4194304,nan,0.03532608598470688,0.13813400268554688
35,model.layers.35.self_attn.v_proj,attn_qkv,1024,4096,4194304,nan,0.05978260934352875,0.13926053047180176
35,model.layers.35.self_attn.o_proj,attn_out,4096,4096,16777216,nan,0.09239130467176437,0.1413729190826416
35,model.layers.35.mlp.gate_proj,mlp_up,12288,4096,50331648,nan,0.13315217196941376,0.13906240463256836
35,model.layers.35.mlp.up_proj,mlp_up,12288,4096,50331648,nan,0.20108695328235626,0.14455652236938477
35,model.layers.35.mlp.down_proj,mlp_down,4096,12288,50331648,nan,0.28260868787765503,0.14772319793701172
