layer_idx_in_block,layer_name,role,out_features,in_features,n_params,kl_div,top1_disagree,elapsed_s
18,model.layers.18.self_attn.q_proj,attn_qkv,3072,3072,9437184,0.0002896205987781286,0.0078125,0.06903791427612305
18,model.layers.18.self_attn.k_proj,attn_qkv,1024,3072,3145728,0.0003501122700981796,0.0026041667442768812,0.07180285453796387
18,model.layers.18.self_attn.v_proj,attn_qkv,1024,3072,3145728,0.005758728366345167,0.01302083395421505,0.07056546211242676
18,model.layers.18.self_attn.o_proj,attn_out,3072,3072,9437184,0.0013125234981998801,0.0052083334885537624,0.06870079040527344
18,model.layers.18.mlp.gate_proj,mlp_up,8192,3072,25165824,0.008582327514886856,0.0182291679084301,0.0705413818359375
18,model.layers.18.mlp.up_proj,mlp_up,8192,3072,25165824,0.02112269215285778,0.01302083395421505,0.07090115547180176
18,model.layers.18.mlp.down_proj,mlp_down,3072,8192,25165824,0.04073425382375717,0.015625,0.07135891914367676
19,model.layers.19.self_attn.q_proj,attn_qkv,3072,3072,9437184,0.00037481164326891303,0.0,0.07070612907409668
19,model.layers.19.self_attn.k_proj,attn_qkv,1024,3072,3145728,0.0005033616907894611,0.0078125,0.07271146774291992
19,model.layers.19.self_attn.v_proj,attn_qkv,1024,3072,3145728,0.0012551189865916967,0.010416666977107525,0.06853079795837402
19,model.layers.19.self_attn.o_proj,attn_out,3072,3072,9437184,0.0016837536823004484,0.0078125,0.07108712196350098
19,model.layers.19.mlp.gate_proj,mlp_up,8192,3072,25165824,0.008929690346121788,0.010416666977107525,0.06982111930847168
19,model.layers.19.mlp.up_proj,mlp_up,8192,3072,25165824,0.009471829980611801,0.01302083395421505,0.07115340232849121
19,model.layers.19.mlp.down_proj,mlp_down,3072,8192,25165824,0.014366580173373222,0.015625,0.0710294246673584
20,model.layers.20.self_attn.q_proj,attn_qkv,3072,3072,9437184,0.00037844860344193876,0.0078125,0.0687112808227539
20,model.layers.20.self_attn.k_proj,attn_qkv,1024,3072,3145728,0.0004164439160376787,0.010416666977107525,0.07382917404174805
20,model.layers.20.self_attn.v_proj,attn_qkv,1024,3072,3145728,0.0011170664802193642,0.0026041667442768812,0.0671377182006836
20,model.layers.20.self_attn.o_proj,attn_out,3072,3072,9437184,0.0005584003520198166,0.0052083334885537624,0.07078862190246582
20,model.layers.20.mlp.gate_proj,mlp_up,8192,3072,25165824,0.006991362199187279,0.0078125,0.07163453102111816
20,model.layers.20.mlp.up_proj,mlp_up,8192,3072,25165824,0.025581855326890945,0.015625,0.07116365432739258
20,model.layers.20.mlp.down_proj,mlp_down,3072,8192,25165824,0.008111407049000263,0.01302083395421505,0.07180023193359375
21,model.layers.21.self_attn.q_proj,attn_qkv,3072,3072,9437184,0.0002733442233875394,0.0026041667442768812,0.0676572322845459
21,model.layers.21.self_attn.k_proj,attn_qkv,1024,3072,3145728,0.0006357739330269396,0.0,0.07009530067443848
21,model.layers.21.self_attn.v_proj,attn_qkv,1024,3072,3145728,0.0009675318142399192,0.0052083334885537624,0.0709073543548584
21,model.layers.21.self_attn.o_proj,attn_out,3072,3072,9437184,0.000662228325381875,0.0026041667442768812,0.07056879997253418
21,model.layers.21.mlp.gate_proj,mlp_up,8192,3072,25165824,0.00901128351688385,0.010416666977107525,0.07208490371704102
21,model.layers.21.mlp.up_proj,mlp_up,8192,3072,25165824,0.01912032812833786,0.010416666977107525,0.0724790096282959
21,model.layers.21.mlp.down_proj,mlp_down,3072,8192,25165824,0.010308122262358665,0.010416666977107525,0.07191944122314453
22,model.layers.22.self_attn.q_proj,attn_qkv,3072,3072,9437184,0.0003306827275082469,0.010416666977107525,0.07027173042297363
22,model.layers.22.self_attn.k_proj,attn_qkv,1024,3072,3145728,0.0008018561638891697,0.0052083334885537624,0.07209467887878418
22,model.layers.22.self_attn.v_proj,attn_qkv,1024,3072,3145728,0.0009563264320604503,0.0052083334885537624,0.06904268264770508
22,model.layers.22.self_attn.o_proj,attn_out,3072,3072,9437184,0.0007499535568058491,0.0078125,0.07015275955200195
22,model.layers.22.mlp.gate_proj,mlp_up,8192,3072,25165824,0.015159249305725098,0.0078125,0.07062292098999023
22,model.layers.22.mlp.up_proj,mlp_up,8192,3072,25165824,0.006341296713799238,0.010416666977107525,0.08006882667541504
22,model.layers.22.mlp.down_proj,mlp_down,3072,8192,25165824,0.008413702249526978,0.015625,0.07227540016174316
23,model.layers.23.self_attn.q_proj,attn_qkv,3072,3072,9437184,0.00022964144591242075,0.010416666977107525,0.07028841972351074
23,model.layers.23.self_attn.k_proj,attn_qkv,1024,3072,3145728,0.0005739341722801328,0.015625,0.07413578033447266
23,model.layers.23.self_attn.v_proj,attn_qkv,1024,3072,3145728,0.0008923662244342268,0.0,0.07057619094848633
23,model.layers.23.self_attn.o_proj,attn_out,3072,3072,9437184,0.0016603827243670821,0.0182291679084301,0.07073783874511719
23,model.layers.23.mlp.gate_proj,mlp_up,8192,3072,25165824,0.006326477974653244,0.0052083334885537624,0.07315540313720703
23,model.layers.23.mlp.up_proj,mlp_up,8192,3072,25165824,0.006968596484512091,0.0078125,0.07100534439086914
23,model.layers.23.mlp.down_proj,mlp_down,3072,8192,25165824,0.006889123469591141,0.015625,0.07123732566833496
24,model.layers.24.self_attn.q_proj,attn_qkv,3072,3072,9437184,0.00026339106261730194,0.0078125,0.06906890869140625
24,model.layers.24.self_attn.k_proj,attn_qkv,1024,3072,3145728,0.00043748223106376827,0.0052083334885537624,0.06878399848937988
24,model.layers.24.self_attn.v_proj,attn_qkv,1024,3072,3145728,0.0023518758825957775,0.0078125,0.0709681510925293
24,model.layers.24.self_attn.o_proj,attn_out,3072,3072,9437184,0.000559163570869714,0.0026041667442768812,0.0690770149230957
24,model.layers.24.mlp.gate_proj,mlp_up,8192,3072,25165824,0.012188849970698357,0.010416666977107525,0.07204675674438477
24,model.layers.24.mlp.up_proj,mlp_up,8192,3072,25165824,0.00577737158164382,0.01302083395421505,0.07156753540039062
24,model.layers.24.mlp.down_proj,mlp_down,3072,8192,25165824,0.028324659913778305,0.0078125,0.07107877731323242
25,model.layers.25.self_attn.q_proj,attn_qkv,3072,3072,9437184,0.0011685102945193648,0.0052083334885537624,0.07003068923950195
25,model.layers.25.self_attn.k_proj,attn_qkv,1024,3072,3145728,0.0007254246156662703,0.015625,0.07332849502563477
25,model.layers.25.self_attn.v_proj,attn_qkv,1024,3072,3145728,0.0011375534813851118,0.0078125,0.07140827178955078
25,model.layers.25.self_attn.o_proj,attn_out,3072,3072,9437184,0.0016900959890335798,0.0026041667442768812,0.06914234161376953
25,model.layers.25.mlp.gate_proj,mlp_up,8192,3072,25165824,0.013235911726951599,0.010416666977107525,0.07249283790588379
25,model.layers.25.mlp.up_proj,mlp_up,8192,3072,25165824,0.01045515388250351,0.0182291679084301,0.07128739356994629
25,model.layers.25.mlp.down_proj,mlp_down,3072,8192,25165824,0.010119618847966194,0.0234375,0.07084798812866211
26,model.layers.26.self_attn.q_proj,attn_qkv,3072,3072,9437184,0.0020913095213472843,0.01302083395421505,0.06942296028137207
26,model.layers.26.self_attn.k_proj,attn_qkv,1024,3072,3145728,0.0005706470692530274,0.0052083334885537624,0.07323169708251953
26,model.layers.26.self_attn.v_proj,attn_qkv,1024,3072,3145728,0.00295623647980392,0.010416666977107525,0.06956005096435547
26,model.layers.26.self_attn.o_proj,attn_out,3072,3072,9437184,0.0012533534318208694,0.010416666977107525,0.06989216804504395
26,model.layers.26.mlp.gate_proj,mlp_up,8192,3072,25165824,0.00859906431287527,0.010416666977107525,0.07157492637634277
26,model.layers.26.mlp.up_proj,mlp_up,8192,3072,25165824,0.026078281924128532,0.010416666977107525,0.07183647155761719
26,model.layers.26.mlp.down_proj,mlp_down,3072,8192,25165824,0.04442821443080902,0.0416666679084301,0.0708003044128418
27,model.layers.27.self_attn.q_proj,attn_qkv,3072,3072,9437184,0.0817277580499649,0.0182291679084301,0.07167601585388184
27,model.layers.27.self_attn.k_proj,attn_qkv,1024,3072,3145728,0.001105160336010158,0.010416666977107525,0.071929931640625
27,model.layers.27.self_attn.v_proj,attn_qkv,1024,3072,3145728,0.00626000901684165,0.0234375,0.0696256160736084
27,model.layers.27.self_attn.o_proj,attn_out,3072,3072,9437184,0.0037446755450218916,0.0260416679084301,0.06997346878051758
27,model.layers.27.mlp.gate_proj,mlp_up,8192,3072,25165824,0.02495473623275757,0.02083333395421505,0.07278966903686523
27,model.layers.27.mlp.up_proj,mlp_up,8192,3072,25165824,0.02341841720044613,0.0416666679084301,0.0713186264038086
27,model.layers.27.mlp.down_proj,mlp_down,3072,8192,25165824,0.08633037656545639,0.0807291716337204,0.07094788551330566
