layer_name,role,layer_index,layer_index_normalized,n_in,n_out,n_params,weight_kurtosis,weight_max_abs,weight_mean_abs,weight_outlier_ratio,effective_rank,condition_proxy
model.language_model.layers.8.self_attn.q_proj,attn_qkv,8,0.1951219512195122,2560,2048,5242880,0.37935853004455566,0.3046875,0.021392822265625,14.242510699001427,1626.7928466796875,3.310309149716376
model.language_model.layers.8.self_attn.k_proj,attn_qkv,8,0.1951219512195122,2560,512,1310720,0.6473186016082764,0.279296875,0.0214080810546875,13.046329294369208,475.5756530761719,3.355856287787793
model.language_model.layers.8.self_attn.v_proj,attn_qkv,8,0.1951219512195122,2560,512,1310720,0.3344388008117676,0.1884765625,0.02178955078125,8.64985994397759,496.0858459472656,1.2364033648691157
model.language_model.layers.8.self_attn.o_proj,attn_out,8,0.1951219512195122,2048,2560,5242880,2.913938522338867,0.34375,0.022064208984375,15.579529737206085,1613.3135986328125,4.25454459540122
model.language_model.layers.8.mlp.gate_proj,mlp_up,8,0.1951219512195122,2560,10240,26214400,1.5465307235717773,0.40234375,0.0210723876953125,19.09341057204924,2388.07080078125,4.486862136563032
model.language_model.layers.8.mlp.up_proj,mlp_up,8,0.1951219512195122,2560,10240,26214400,0.9368808269500732,0.369140625,0.0214691162109375,17.19402985074627,2426.075439453125,2.8087130676017136
model.language_model.layers.8.mlp.down_proj,mlp_down,8,0.1951219512195122,10240,2560,26214400,2.2142295837402344,0.384765625,0.0153961181640625,24.991080277502476,2373.19677734375,4.515728126360153
model.language_model.layers.8.per_layer_input_gate,other,8,0.1951219512195122,2560,256,655360,2.0167346000671387,0.04443359375,0.004268646240234375,10.40929401251117,245.4434356689453,1.4579515562829963
model.language_model.layers.8.per_layer_projection,other,8,0.1951219512195122,256,2560,655360,25.571142196655273,0.6875,0.0278472900390625,24.688219178082193,190.37889099121094,1.8227630435493758
model.language_model.layers.9.self_attn.q_proj,attn_qkv,9,0.21951219512195122,2560,2048,5242880,0.5579001903533936,0.26171875,0.0206756591796875,12.658302583025831,1610.916748046875,3.174706346229278
model.language_model.layers.9.self_attn.k_proj,attn_qkv,9,0.21951219512195122,2560,512,1310720,0.6145584583282471,0.20703125,0.0205078125,10.095238095238095,468.15386962890625,3.1443711515635964
model.language_model.layers.9.self_attn.v_proj,attn_qkv,9,0.21951219512195122,2560,512,1310720,0.3954353332519531,0.232421875,0.0210723876953125,11.029688631426502,495.8743896484375,1.256310613154241
model.language_model.layers.9.self_attn.o_proj,attn_out,9,0.21951219512195122,2048,2560,5242880,1.5559964179992676,0.326171875,0.021240234375,15.35632183908046,1664.6192626953125,3.1649672107054614
