layer_idx_in_block,layer_name,role,out_features,in_features,n_params,kl_div,top1_disagree,n_valid_positions,elapsed_s
7,model.language_model.layers.7.per_layer_input_gate,other,256,2560,655360,0.0030888800974935293,0.005181347019970417,193,0.15289735794067383
7,model.language_model.layers.7.per_layer_projection,other,2560,256,655360,0.0029474860057234764,0.020725388079881668,193,0.1598193645477295
8,model.language_model.layers.8.self_attn.q_proj,attn_qkv,2048,2560,5242880,0.0003597357135731727,0.005181347019970417,193,0.15572381019592285
8,model.language_model.layers.8.self_attn.k_proj,attn_qkv,512,2560,1310720,0.0003964555507991463,0.005181347019970417,193,0.15364837646484375
8,model.language_model.layers.8.self_attn.v_proj,attn_qkv,512,2560,1310720,0.007671464700251818,0.010362694039940834,193,0.1513526439666748
8,model.language_model.layers.8.self_attn.o_proj,attn_out,2560,2048,5242880,0.005689621903002262,0.005181347019970417,193,0.15450286865234375
8,model.language_model.layers.8.mlp.gate_proj,mlp_up,10240,2560,26214400,0.011825282126665115,0.041450776159763336,193,0.16690635681152344
8,model.language_model.layers.8.mlp.up_proj,mlp_up,10240,2560,26214400,0.01664930023252964,0.02590673416852951,193,0.16621637344360352
8,model.language_model.layers.8.mlp.down_proj,mlp_down,2560,10240,26214400,0.033456362783908844,0.041450776159763336,193,0.16392827033996582
8,model.language_model.layers.8.per_layer_input_gate,other,256,2560,655360,0.023666134104132652,0.041450776159763336,193,0.1539144515991211
8,model.language_model.layers.8.per_layer_projection,other,2560,256,655360,0.0020346431992948055,0.005181347019970417,193,0.15434789657592773
9,model.language_model.layers.9.self_attn.q_proj,attn_qkv,2048,2560,5242880,0.0016999772051349282,0.005181347019970417,193,0.1488041877746582
9,model.language_model.layers.9.self_attn.k_proj,attn_qkv,512,2560,1310720,0.001992205623537302,0.010362694039940834,193,0.1562492847442627
9,model.language_model.layers.9.self_attn.v_proj,attn_qkv,512,2560,1310720,0.027341846376657486,0.02590673416852951,193,0.15572500228881836
9,model.language_model.layers.9.self_attn.o_proj,attn_out,2560,2048,5242880,0.019532525911927223,0.036269430071115494,193,0.15883803367614746
9,model.language_model.layers.9.mlp.gate_proj,mlp_up,10240,2560,26214400,0.027046456933021545,0.04663212224841118,193,0.16687893867492676
9,model.language_model.layers.9.mlp.up_proj,mlp_up,10240,2560,26214400,0.01764199510216713,0.015544041059911251,193,0.16852355003356934
9,model.language_model.layers.9.mlp.down_proj,mlp_down,2560,10240,26214400,0.061198890209198,0.07253886014223099,193,0.15744256973266602
9,model.language_model.layers.9.per_layer_input_gate,other,256,2560,655360,0.016462139785289764,0.015544041059911251,193,0.15382719039916992
9,model.language_model.layers.9.per_layer_projection,other,2560,256,655360,0.035250891000032425,0.05181346833705902,193,0.15816307067871094
10,model.language_model.layers.10.self_attn.q_proj,attn_qkv,2048,2560,5242880,0.003641199553385377,0.015544041059911251,193,0.1612539291381836
10,model.language_model.layers.10.self_attn.k_proj,attn_qkv,512,2560,1310720,0.002378422301262617,0.015544041059911251,193,0.16031479835510254
10,model.language_model.layers.10.self_attn.v_proj,attn_qkv,512,2560,1310720,0.0502702072262764,0.05181346833705902,193,0.15715765953063965
10,model.language_model.layers.10.self_attn.o_proj,attn_out,2560,2048,5242880,0.025050437077879906,0.041450776159763336,193,0.15280389785766602
10,model.language_model.layers.10.mlp.gate_proj,mlp_up,10240,2560,26214400,0.025628643110394478,0.05181346833705902,193,0.16018152236938477
10,model.language_model.layers.10.mlp.up_proj,mlp_up,10240,2560,26214400,0.026464175432920456,0.036269430071115494,193,0.16645431518554688
10,model.language_model.layers.10.mlp.down_proj,mlp_down,2560,10240,26214400,0.042945899069309235,0.036269430071115494,193,0.16522550582885742
10,model.language_model.layers.10.per_layer_input_gate,other,256,2560,655360,0.003003995632752776,0.020725388079881668,193,0.15504956245422363
10,model.language_model.layers.10.per_layer_projection,other,2560,256,655360,0.02556583844125271,0.031088082119822502,193,0.1580495834350586
11,model.language_model.layers.11.self_attn.q_proj,attn_qkv,4096,2560,10485760,0.0033712200820446014,0.010362694039940834,193,0.1564626693725586
11,model.language_model.layers.11.self_attn.k_proj,attn_qkv,1024,2560,2621440,0.014002248644828796,0.036269430071115494,193,0.15758824348449707
11,model.language_model.layers.11.self_attn.v_proj,attn_qkv,1024,2560,2621440,0.07050187140703201,0.05699481815099716,193,0.15478515625
11,model.language_model.layers.11.self_attn.o_proj,attn_out,2560,4096,10485760,0.12569300830364227,0.08808290213346481,193,0.15935349464416504
11,model.language_model.layers.11.mlp.gate_proj,mlp_up,10240,2560,26214400,0.04176829382777214,0.031088082119822502,193,0.16965055465698242
11,model.language_model.layers.11.mlp.up_proj,mlp_up,10240,2560,26214400,0.027466487139463425,0.031088082119822502,193,0.16727161407470703
11,model.language_model.layers.11.mlp.down_proj,mlp_down,2560,10240,26214400,0.02829759567975998,0.031088082119822502,193,0.1644458770751953
11,model.language_model.layers.11.per_layer_input_gate,other,256,2560,655360,0.031430765986442566,0.036269430071115494,193,0.14823150634765625
11,model.language_model.layers.11.per_layer_projection,other,2560,256,655360,0.0647910088300705,0.062176164239645004,193,0.15656113624572754
