layer_name,role,layer_index,layer_index_normalized,n_in,n_out,n_params,weight_kurtosis,weight_max_abs,weight_mean_abs,weight_outlier_ratio,effective_rank,condition_proxy
model.layers.5.self_attn.q_proj,attn_qkv,5,0.18518518518518517,3072,3072,9437184,1.339169979095459,0.3125,0.0189361572265625,16.502820306204672,2042.9691162109375,4.202556259609638
model.layers.5.self_attn.k_proj,attn_qkv,5,0.18518518518518517,3072,1024,3145728,2.438103675842285,0.53515625,0.0242462158203125,22.07174323473883,846.798828125,2.5689173415489543
model.layers.5.self_attn.v_proj,attn_qkv,5,0.18518518518518517,3072,1024,3145728,0.42584776878356934,0.10888671875,0.00934600830078125,11.650612244897959,936.1577758789062,1.2931765951295773
model.layers.5.self_attn.o_proj,attn_out,5,0.18518518518518517,3072,3072,9437184,0.7633581161499023,0.31640625,0.01071929931640625,29.517437722419928,2228.2099609375,2.2807483187296467
model.layers.5.mlp.gate_proj,mlp_up,5,0.18518518518518517,3072,8192,25165824,0.3675086498260498,0.439453125,0.0161590576171875,27.195467422096318,2794.76025390625,4.59337482614855
model.layers.5.mlp.up_proj,mlp_up,5,0.18518518518518517,3072,8192,25165824,0.35467004776000977,0.40234375,0.01360321044921875,29.577117218171622,2883.013427734375,1.6404928185762198
model.layers.5.mlp.down_proj,mlp_down,5,0.18518518518518517,8192,3072,25165824,1.0217304229736328,0.77734375,0.01346588134765625,57.72691218130311,2832.3056640625,2.104760437254626
model.layers.6.self_attn.q_proj,attn_qkv,6,0.2222222222222222,3072,3072,9437184,1.304905891418457,0.30859375,0.0192108154296875,16.063542494042892,2079.251708984375,4.280168617109115
model.layers.6.self_attn.k_proj,attn_qkv,6,0.2222222222222222,3072,1024,3145728,0.9087440967559814,0.322265625,0.0244598388671875,13.175296319401124,863.8670043945312,2.86277171839866
model.layers.6.self_attn.v_proj,attn_qkv,6,0.2222222222222222,3072,1024,3145728,0.3224022388458252,0.08984375,0.0099334716796875,9.044546850998463,942.3809814453125,1.3816691125321978
model.layers.6.self_attn.o_proj,attn_out,6,0.2222222222222222,3072,3072,9437184,1.8138160705566406,0.78125,0.0111541748046875,70.04103967168263,2246.779541015625,2.2983539166157927
